Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,Instructor,Date (MM/DD),Location,Attribute,
NR,59267,ARCH,4200,1,T,1,PORTFOLIO DEVELOPMENT,W,12:00 pm-01:50 pm,15,14,1,Matthew Joseph Lopez (P),08/29-12/20,CARNEG 101, 
NR,59510,ARCH,4200,2,T,1,PORTFOLIO DEVELOPMENT,W,12:00 pm-01:50 pm,15,11,4,Per S. Svedberg (P),08/29-12/20,CARNEG 208, 
NR,59779,ARCH,4200,3,T,1,PORTFOLIO DEVELOPMENT,W,12:00 pm-01:50 pm,15,10,5,Hseng Tai Ja Reng Lintner (P),08/29-12/20,CARNEG 106, 
NR,57890,ARCH,4330,1,T,3,STRUCTURES 2,TF,12:00 pm-01:20 pm,75,51,24,Justin Henry Den Herder (P),08/29-12/20,CARNEG 113, 
NR,58112,ARCH,4510,1,T,2,CONSTRUCTION INDUST SEMR 1,R,12:00 pm-01:50 pm,10,3,7,Per S. Svedberg (P),08/29-12/20,DARRIN 232, 
NR,55147,ARCH,4540,1,T,2,PROFESSIONAL PRACTICE 1,T,06:00 pm-07:50 pm,30,16,14,Katrina Pacheco (P),08/29-12/20,DARRIN 232, 
 , , , , , , , ,R,06:00 pm-06:50 pm, , , ,Katrina Pacheco (P),08/29-12/20,DARRIN 232, 
NR,57627,ARCH,4550,1,T,2,PROFESSIONAL PRACTICE 2,T,06:00 pm-07:50 pm,50,27,23,David Jonathon Pacheco (P),08/29-12/20,GREENE 120, 
NR,57891,ARCH,4560,1,T,2,MATERIALS AND ENCLOSURES,M,12:00 pm-01:50 pm,70,59,11,John Clifford Loercher (P),08/29-12/20,DARRIN 318, 
NR,59909,ARCH,4560,2,T,2,MATERIALS AND ENCLOSURES,M,12:00 pm-01:50 pm,50,0,50,Arta Yazdanseta (P),08/29-12/20,LALLY 104, 
NR,58380,ARCH,4580,80,T,3,MATERIALS SYSTEMS & PRODUCTION,T,02:00 pm-04:50 pm,10,8,2,Joshua William Hugo Draper (P),08/29-12/20,TBA, 
NR,59496,ARCH,4590,1,T,2,ENTREPRENEURSHIP &ARCHITECTURE,M,10:00 am-11:50 am,30,21,9,"Alec Walker (P), Daniel Stratford",08/29-12/20,GREENE STU, 
NR,59497,ARCH,4740,1,T,4,BLDG SYSTEMS AND ENVIRONMENT,MR,08:00 am-09:50 am,30,9,21,John Clifford Loercher (P),08/29-12/20,DARRIN 239, 
NR,57629,ARCH,4770,1,T,5,ARCHITECTURAL DESIGN STUDIO 5,MWR,02:00 pm-05:50 pm,16,1,15,Edward Jeremy Keller (P),08/29-12/20,GREENE STU, 
